"202606";"202511";"UF";"COD_MUNICIPIO";"CIDADE";"DOCUMENTO";"NIS";"NOME";"VALOR"
"202606";"202511";"BA";"2903201";"BARREIRAS";"***.514.***-**";"82805462012";"SANDRA REGINA SOARES";"650,00"
"202606";"202511";"MA";"2103307";"CAXIAS";"***.636.***-**";"68224977641";"ADRIANA RIBEIRO";"1210,00"
"202606";"202511";"TO";"1709500";"GURUPI";"***.451.***-**";"11030509027";"LUCAS GONCALVES";"650,00"
"202606";"202511";"BA";"2903201";"BARREIRAS";"***.836.***-**";"70550670650";"ANA CAROLINA SILVA";"1210,00"
"202606";"202511";"SC";"4209102";"JOINVILLE";"***.215.***-**";"46065774125";"LUCIANA MARTINS";"900,00"
"202606";"202511";"PB";"2501807";"BAYEUX";"***.525.***-**";"21328910220";"TATIANA MOREIRA";"900,00"
"202606";"202511";"AM";"1303403";"PARINTINS";"***.550.***-**";"49909359552";"BEATRIZ NASCIMENTO";"700,00"
"202606";"202511";"RS";"4314407";"PELOTAS";"***.733.***-**";"51134720112";"ANA CAROLINA SILVA";"900,00"
"202606";"202511";"PA";"1500800";"ANANINDEUA";"***.432.***-**";"61929093234";"ADRIANA RIBEIRO";"1210,00"
"202606";"202511";"BA";"2903201";"BARREIRAS";"***.518.***-**";"95327061857";"RENATO CARVALHO";"950,00"
"202606";"202511";"RJ";"3303500";"NOVA IGUACU";"***.864.***-**";"89113152201";"RENATO CARVALHO";"600,00"
"202606";"202511";"RO";"1100205";"PORTO VELHO";"***.784.***-**";"81745979732";"GABRIELA MARTINS";"650,00"
"202606";"202511";"SE";"2804805";"NOSSA SENHORA DO SOCORRO";"***.439.***-**";"29198677012";"RENATO CARVALHO";"750,00"
"202606";"202511";"BA";"2910800";"FEIRA DE SANTANA";"***.717.***-**";"46703211110";"MARCOS VINICIUS LOPES";"950,00"
"202606";"202511";"SC";"4209102";"JOINVILLE";"***.561.***-**";"99334469356";"CAMILA FREITAS";"1210,00"
"202606";"202511";"PB";"2504009";"CAMPINA GRANDE";"***.207.***-**";"11155500563";"MARIA APARECIDA SANTOS";"700,00"
